YoutubeLink,Comment
https://www.youtube.com/watch?v=3Qt-OgNvYps,"नरेन्द्र Darling को MODI Award यानि (Movements Operations Development Integrity)AWARD यानि आज का अर्जुन Award से सम्मानित करते हुए<br>👉🚩महा🇮🇳भारत🚩 के आदेशानुसार UCC में सभी types की Reservations में EWS अनिवार्य किया जाए और All Vacant Seats को Meritorious अथवा सर्वश्रेष्ठ Candidates के सुपुर्द किया जाए 👉Share &amp; Forward करते रहें<br>👉 PM को AM अथवा सुर्यास्त को सुर्योदय में तब्दील करने की कवायद के अंतर्गत👉 कृषि को सरकारी उपक्रम के द्वारा सरकारी उद्योग बनाया जाए👉सारे  Police महकमों को Under Governer और सारे Governers को Under गृह मंत्रालय लाया जाए👉 राष्ट्रपति भवन में सनातन सभा बनाई जाए  और वहां हर मुद्दों पर  शास्त्रार्थ की Live Telecasting 24 Hours जारी रखी जाए👉 ईस्सल्लै मुस्सल्लै भुस्सल्लै की यौनिमुक्ति में तेज़ी लाएं👉इनके दुष्कर्मों में सहयोगी Catalyst Politicians को फौरन से पेशतर गायब करें , जिव्हा मुक्त करें, योनि मुक्त करें,  मार गिराऐं, Indirect &amp; Confuse करने वाले तरीकों द्वारा 👉 जनसाधारण को &quot;Iss&quot;Lame&quot; Brain Virus अथवा &quot;लंगड़ा Brain Virus&quot;  व  &quot;Iss&quot;Eye&quot; Brain Virus अथवा &quot;अंधा Brain Virus और भुस्सल्लै/भिंडरावाले/गोबिंद सिंगि  भूसा Brain Virus से अवगत करवाने के प्रयास तीव्रतम गति से करें👈 Communication Injection द्वारा 👉 हिंदुत्व Brain Vaccine का Booster Dose  और सनातन Brain Vaccine का Master Dose , बाल्यकाल से ही देना Compulsory करें 👉 Share &amp; Forward करते रहें<br>🚩जयभारती🇮🇳जयभारत🇮🇳जयमहाभारत🚩"
https://www.youtube.com/watch?v=3Qt-OgNvYps,Proud moment for all Indian ☺️. Living with dignity We are so proud now as we are in the protection and care of a strong Leader
https://www.youtube.com/watch?v=3Qt-OgNvYps,😍
https://www.youtube.com/watch?v=3Qt-OgNvYps,gujrati ❤
https://www.youtube.com/watch?v=ItDPrQUIhIM,Peshawar 2014 mudi
https://www.youtube.com/watch?v=ItDPrQUIhIM,❤
https://www.youtube.com/watch?v=ItDPrQUIhIM,❤
https://www.youtube.com/watch?v=ItDPrQUIhIM,❤
https://www.youtube.com/watch?v=ItDPrQUIhIM,Mera nam masoom reja hai mai modi ji ko bhagwan ram ji ke rup mai pujta hu chauwes mai modi ji 405 set jetkar modi ji tesriwar sapath lenge
https://www.youtube.com/watch?v=ItDPrQUIhIM,🎉🎉🎉❤🎉🎉
https://www.youtube.com/watch?v=ItDPrQUIhIM,"Modiji 9 saal se adhikh samamay beet Gaya aap pm bane huway ek din to pm ka kaam karein krupya ,election ki ralian me jhoot pe jhoot ya mandrion ki yatra ya party meeting in sab se sar dard lage to videsi tour pada likha berozgar pakoda yojna"
https://www.youtube.com/watch?v=ItDPrQUIhIM,Modiji is the best👍💯
https://www.youtube.com/watch?v=ItDPrQUIhIM,hmare desh ke phle PM hai hindut ko gorbanit KR rhe hai
https://www.youtube.com/watch?v=ItDPrQUIhIM,Jsk sir 🎉🎉
https://www.youtube.com/watch?v=ItDPrQUIhIM,🤭
https://www.youtube.com/watch?v=ItDPrQUIhIM,जय हो प्रभु की प्रभु लीला प्रभु ही जाने
https://www.youtube.com/watch?v=ItDPrQUIhIM,"Within 1 month, u will be going to hell"
https://www.youtube.com/watch?v=ItDPrQUIhIM,🙏🙏🙏🙏
https://www.youtube.com/watch?v=ItDPrQUIhIM,🙏🙏🙏
https://www.youtube.com/watch?v=ItDPrQUIhIM,😂😂😂🙏🧜‍♂️🧜🏾‍♀️🧜🏾‍♀️🙏👨‍💻👩‍💻🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏
https://www.youtube.com/watch?v=ItDPrQUIhIM,Jai  namo 🙏 ❤
https://www.youtube.com/watch?v=ItDPrQUIhIM,👍 Our best Beloved and Honourable Prime Minister&#39;s USA Journey is very notable. We like this video much. Thank you very much for sharing this memorable video!
https://www.youtube.com/watch?v=ItDPrQUIhIM,You do best
https://www.youtube.com/watch?v=ItDPrQUIhIM,Super super
https://www.youtube.com/watch?v=xZPuLyWAoJI,Do you have a leader who is not intervened his own country issue but looking to go for abroad visit.<br>The manipur in fire 🔥 of all illegal violence has been going on for more than 2 months. Still PM is silent.. Do you have?
https://www.youtube.com/watch?v=xZPuLyWAoJI,Irony..  Hand shake and 90 US Congress people petition on india&#39;s  human rights on Modi s  visit.  And china told USA to shut up on Uygur  Atrocities. Show much about diplomacy
https://www.youtube.com/watch?v=xZPuLyWAoJI,A distraction from bi den courrption crickets
https://www.youtube.com/watch?v=xZPuLyWAoJI,Where&#39;s hunter?
https://www.youtube.com/watch?v=xZPuLyWAoJI,"Are you Indians sure that you are willing to make India another Ukraine?  This time against China?  Where is the wise that don&#39;t tell you that you are befriending a Criminal and Racist Family Biden? you haven&#39;t read anything? Those Jewels Gifts will be to bail out Hunter and buy some drugs and lady&#39;s...I&#39;m done with India. <a href=""about:invalid#zCSafez""></a>"
https://www.youtube.com/watch?v=xZPuLyWAoJI,"Ma&#39;am what should I expect from our beloved PM other then some killings...??? You knows better why should you put such question, don&#39;t fool yourself?"
https://www.youtube.com/watch?v=xZPuLyWAoJI,sangi medias those who begging for bones from bjp govt pls advice him to visit manipur not in America. Manipur is not in America its in India atleast advice him be humanity. Those who take federelism to his own people they are erased from the world
https://www.youtube.com/watch?v=xZPuLyWAoJI,Modi is the most Useless and Cruel PM ever.. He is helping to kills other religions especially now he supports with his silence who is killing Christians in Manipur..he will get all replies soon in next coming elections from all over India...shame on Modi..
https://www.youtube.com/watch?v=xZPuLyWAoJI,He is going to get all replies soon while next elections from all over India... Shame on Mod
https://www.youtube.com/watch?v=xZPuLyWAoJI,He never tries to solve issues there. Even he never talk about that.. He is keeping his criminal minded silence to ruin christian community.
https://www.youtube.com/watch?v=xZPuLyWAoJI,Sorry to say... Our Tourist PM is a Jocker film actor... In Manipur riots going on and he trying support people who attacks and killing hundreds of christians by goverment sources with weapons..
https://www.youtube.com/watch?v=xZPuLyWAoJI,And he don&#39;t have the time to visit his home state Manipur and solve the problem there.
https://www.youtube.com/watch?v=xZPuLyWAoJI,"Feku First stop  Muslim , Sikhs Christian and  Dalits attacks here in indian thru Saffron Terrorist group Bajarang Dal then lecture US and World"
https://www.youtube.com/watch?v=xZPuLyWAoJI,May God Bless Gandhi family to over BJP evils 🙏and give them wisdom and courage to  defeat BJP  in 2024 General Election
https://www.youtube.com/watch?v=xZPuLyWAoJI,"Murderer Modi stop  Muslim , Sikhs Christian and  Dalits attacks here in indian thru Saffron Terrorist group Bajarang Dal"
https://www.youtube.com/watch?v=xZPuLyWAoJI,To poke China <br>To fear upcoming Terrorism<br>🇺🇸still think 🇮🇳is still colonised by🇬🇧
https://www.youtube.com/watch?v=xZPuLyWAoJI,Few suggestions for both the top.leaders:<br><br>1. Explore ways how to eliminate terrorism from the world.<br>2. Find ways how to save environment and climate.<br>3. How to strengthen UNO.<br>4. Explore possibilities to give some priority to Indians in obtaining US green card.<br>.5. Possibilities to waive off the need for ViSA for Indians to visir USA and vice versa.<br>6. Arrange periodic meetings of ministers of both countries to find ways to strengthen each other.<br>7. Find ways to inculcate the teachings of spirituality and yoga in people. <br> 8. Find ways to allow Indian doctors to get jobs and practice in USA without the need to pass extra medical exams of USA. <br>9.Recognition of Ayurved in USA also be attempted. Promote and encourage Ayurved in both the countries.<br>10. A directory be made listing laws of one country and their equivalent laws in other country. Then efforts be made to adopt good points/ laws of of one country by other country.<br>11. Constitutions of both countries be compared and good points of one constitution be adopted in constitution of other country to the extent possible.<br> 12. Indian American Associations be encouraged to enlarge their scope to find ways to strengthen friendship between US and India specially in the areas where govt formal approval may not be reqd
https://www.youtube.com/watch?v=xZPuLyWAoJI,"We love Modiji …. <br>At the same time Save Manipur….<br>Peace be in Manipur , Avoid riots and massacre, Save lives in Manipur…( especially kids and ladies) …. The entire world have seen the videos of tortured  girls….. world will treat us like in Nigeria/ Kenya/Somalia.<br>USA, UN, Europe, rest all International Human organisations are watching the MANIPUR MASSACRE…… otherwise we will loose the last 9 years reputation………<br>Jai Hind 🇮🇳"
https://www.youtube.com/watch?v=xZPuLyWAoJI,Unity day...is historical mark...news..Mostly complite...but need to american..interview..so we know...public view and relationship. Thans wion.
https://www.youtube.com/watch?v=xZPuLyWAoJI,Modi is enjoying😊 America and Manipur is burning🔥 very very sad our life
https://www.youtube.com/watch?v=rcDhvR3oeiE,"Prime  Minister  Narendra  Modi addressing the U S  Congress became the scene of intermittent standing ovations. <br>PM  Modi&#39;s  extempore Speech was exemplary &amp; the latest technology namely AI or Artificial Intelligence was nicely co-related by him by saying &quot; AI  now also means America India relationship between the oldest Democracy &amp; the largest Democracy of the World gave way to a new powerful dimension to his speech. <br>If  India, with one fifth of the World&#39;s Population grows then the World also grows was relevantly meaningful. <br>PM Modi&#39;s Poetry was relevantly meaningful . <br>The reference to Covid  Management by India &amp; overcoming Terrorism by referring to the tragic incidents in US  &amp;  India by identified by their dates, was a reminder to root out terrorism. <br>God  Bless PM  Modi &amp; under his leadership, let there be Growth &amp; Prosperity for India. <br>Good relationship between India &amp; US is Ideal for a Better World Order. <br>Jai  Hind"
https://www.youtube.com/watch?v=rcDhvR3oeiE,Buona fortuna a tutti voi presidente 👍👏👏👏🇺🇲🇮🇳
https://www.youtube.com/watch?v=rcDhvR3oeiE,Do you know why he always says mr speaker... Its because speaker is the leader of the house...
https://www.youtube.com/watch?v=rcDhvR3oeiE,He loose  the political power.
https://www.youtube.com/watch?v=rcDhvR3oeiE,🙏We all are educated well educated idiots🙏 ... 😊
https://www.youtube.com/watch?v=rcDhvR3oeiE,Family...😊
https://www.youtube.com/watch?v=rcDhvR3oeiE,"It was a disgrace how U.S. House members fawned all over this anti-Muslim , Hindu pagan !! When there are skirmishes between Hindus and Muslims in India , the Modi government brings bulldozers to the town and levels ONLY Muslim homes and businesses , they never touch the HINDU homes or businesses , even when the Hindus started the trouble !!  GOD BLESS Ilhan Omar and the several other U.S. Reps. who refused to attend this Thugs speech !!"
https://www.youtube.com/watch?v=rcDhvR3oeiE,All the west
https://www.youtube.com/watch?v=rcDhvR3oeiE,All the west
https://www.youtube.com/watch?v=rcDhvR3oeiE,Joy Bharat 🇮🇳
https://www.youtube.com/watch?v=rcDhvR3oeiE,👏🏻👏🏻👏🏻🔥🔥🔥
https://www.youtube.com/watch?v=rcDhvR3oeiE,❤
https://www.youtube.com/watch?v=rcDhvR3oeiE,Jai hind jai Bharat.
https://www.youtube.com/watch?v=rcDhvR3oeiE,Amen Amen Amen🙏🙏🙏🙏🤲🤲🤲🤲🤲🤲🎉🎉🎉🎉🎉
https://www.youtube.com/watch?v=rcDhvR3oeiE,Bok boook bok boi bok modi 🦆
https://www.youtube.com/watch?v=rcDhvR3oeiE,modigi is big  biggest prime minister in india ilove  modigi and bjb
https://www.youtube.com/watch?v=rcDhvR3oeiE,Jai.modiji
https://www.youtube.com/watch?v=rcDhvR3oeiE,😂😂😂😂😂
https://www.youtube.com/watch?v=rcDhvR3oeiE,💐💜 great speech and debate and happiness love forever 💜💐
https://www.youtube.com/watch?v=rcDhvR3oeiE,💐💜 so nice pick boths legends and happiness love forever 💜💐
https://www.youtube.com/watch?v=zvYyfWT5oYA,But he is standing at left....whom Modi is wishing and looking?
https://www.youtube.com/watch?v=zvYyfWT5oYA,Pm modi please remove chinmayanand from BJP and put me in jail
https://www.youtube.com/watch?v=zvYyfWT5oYA,Modi ji aap mahan ho
https://www.youtube.com/watch?v=zvYyfWT5oYA,"Bhaai Indian PM Modi Ji hain... Ab tak ke sabse dumdaar PM, waise toh Independent India ke pehle hi PM hain... India&#39;s First PM, is PM Modi Ji..."
https://www.youtube.com/watch?v=zvYyfWT5oYA,Modi ji is the future of our country
https://www.youtube.com/watch?v=zvYyfWT5oYA,Sir you never stop to amaze people !! Respect you sir !! 👍
https://www.youtube.com/watch?v=zvYyfWT5oYA,You are great sir
https://www.youtube.com/watch?v=zvYyfWT5oYA,Modi 😎
https://www.youtube.com/watch?v=zvYyfWT5oYA,Har Har modi.. <br>Ghar Ghar modi..
https://www.youtube.com/watch?v=zvYyfWT5oYA,The Indian hitler modi
https://www.youtube.com/watch?v=zvYyfWT5oYA,Nice look
https://www.youtube.com/watch?v=zvYyfWT5oYA,Prpud to be indian🇮🇳
https://www.youtube.com/watch?v=zvYyfWT5oYA,Very first one to like and comment
https://www.youtube.com/watch?v=zvYyfWT5oYA,Jai Modi. 1 st Good luck!!!
https://www.youtube.com/watch?v=zvYyfWT5oYA,Jai modi ji
https://www.youtube.com/watch?v=Co2fhCFeXXk,"Times used to be very Challenging, I had the worst days of my life living with bad breath, I appreciate you so much Dr Emovon on YouTube, You have restored me my life that was lost already.  All the pains are gone, I will keep on telling everyone about you……😀😀😀"
https://www.youtube.com/watch?v=Co2fhCFeXXk,🇮🇳India lands on moons south pole successfully 🥳 congratulations team ISRO❤
https://www.youtube.com/watch?v=Co2fhCFeXXk,India time also change..
https://www.youtube.com/watch?v=Co2fhCFeXXk,Very sly discussion. Allegations without proof.
https://www.youtube.com/watch?v=Co2fhCFeXXk,"India has not failed to condemn Russia; instead, it has chosen to stay neutral in the American skirmish."
https://www.youtube.com/watch?v=Co2fhCFeXXk,I knew about ur jealosy 😊😊😊
https://www.youtube.com/watch?v=Co2fhCFeXXk,🦠 Germany became slave of china 🇨🇳 lol 😂
https://www.youtube.com/watch?v=Co2fhCFeXXk,Shame on Hindu phobic DW yuck 🤮
https://www.youtube.com/watch?v=Co2fhCFeXXk,The reporter said that india has not condeemed russia and ukrine war yes it has not and when we were facing such kind of issues were was west and west think west problems are world problems and world problem are not west problem. when covid came west started hoarding vaccines and didnt helped less developed countries who were in desperate need of vaccine but india helped all those countries who were in need of vaccine so don&#39;t tell or lectures us on what to do and what not to . First look at yourself
https://www.youtube.com/watch?v=Co2fhCFeXXk,"The oppression discrimination &amp; harassment faced by Pagan Romani peoplin Germany and Europe is so open that DW must feel ashamed of themselves, if they have any shame that is."
https://www.youtube.com/watch?v=Co2fhCFeXXk,"I am highly disappointed with modi government, as a citizen of world&#39;s largest democracy  we have every right to expose these hypocrite americans but modi gov didn&#39;t raise the human rights issue of america &amp; genocides of american army..."
https://www.youtube.com/watch?v=Co2fhCFeXXk,"No single press conference done by Modi, then how he is great"
https://www.youtube.com/watch?v=Co2fhCFeXXk,Modi is a very bad person.😡😡😡
https://www.youtube.com/watch?v=Co2fhCFeXXk,The Man sharing his view belongs to patriarchal Brahman community whom leftist accuse of oppression...has he converted to Islam??😂😂😂
https://www.youtube.com/watch?v=Co2fhCFeXXk,Where are all Germans..??😂😂
https://www.youtube.com/watch?v=Co2fhCFeXXk,New word from Leftist playbook..&quot;Democratic Backsliding &quot;😂😂
https://www.youtube.com/watch?v=Co2fhCFeXXk,A lot of initiative taken this government 🇮🇳🇮🇳🇮🇳🇮🇳........we are proud to be as Indian 🇮🇳🇮🇳🇮🇳🇮🇳.....the people of India Narendra Modi is the family person......i don&#39;t have fluently in English....but my mother tongue language....i can tell u a lot of......
https://www.youtube.com/watch?v=Co2fhCFeXXk,"2014 to 2023.......48 crores people bank account new, 15 crore free toilet build, 5 crore people free home, 50 crore people 5lakh health insurance, 74new airport, 39000 kilometres railway electrification, per day 42 kilometres road complete, 80 crore free 🌾🌾, free rice , so 2024 election i am from vilage Maharashtra jalgaon district.....100 percent modi is win 3 rd times win ........ poor people love modi......."
https://www.youtube.com/watch?v=Co2fhCFeXXk,Modi is dinamic world 🌍🌍🌍......proud to be as Indian 🇮🇳🇮🇳🇮🇳
https://www.youtube.com/watch?v=Co2fhCFeXXk,Boolywood  WANT  to become Hollywood?
https://www.youtube.com/watch?v=NS_Z3ZNxpVc,He should be Next in 2024 to become superpower ❤❤❤
https://www.youtube.com/watch?v=NS_Z3ZNxpVc,"Modi takes action against democracy. He is no accepting supremecourt, Indian media and CBI  also."
https://www.youtube.com/watch?v=NS_Z3ZNxpVc,"Times used to be very Challenging, I had the worst days of my life living with bad breath, I appreciate you so much Dr Emovon on YouTube, You have restored me my life that was lost already.  All the pains are gone, I will keep on telling everyone about you…..🌹🌹"
https://www.youtube.com/watch?v=NS_Z3ZNxpVc,I am betting on their losing.
https://www.youtube.com/watch?v=NS_Z3ZNxpVc,Jai shree ram
https://www.youtube.com/watch?v=NS_Z3ZNxpVc,"I would like correct your facts : HDFC Bank Ltd, with a market capitalization of 12.30 trillion INR, is a more fitting comparison to U.S. giants like J.P. Morgan than ICICI Bank, which has a market cap of 6.80 trillion INR. Additionally, since their IPOs, HDFC Bank has offered a total return of 29,305.80%, outperforming ICICI Bank&#39;s 23,718.63%."
https://www.youtube.com/watch?v=NS_Z3ZNxpVc,"<a href=""https://youtu.be/7TXlEV1LHWo"">https://youtu.be/7TXlEV1LHWo</a>"
https://www.youtube.com/watch?v=NS_Z3ZNxpVc,"Modi deserves to be elected for the third term here..Here in India we conduct the planets largest democratic exercise of elections with 900 million voters, the election process is smooth and transparent and we  trust our election commision for its work....unlike US Where there are always complaints of rigging in elections"
https://www.youtube.com/watch?v=NS_Z3ZNxpVc,"Most US / Western analysts presumably mean well when they talk about the human rights of minorities in India but are genuinely naive in their understanding of the ground realities. The friction points of majority vs minority issues in India can best be appreciated with the following scenarios / Qs being posed in the context of the US.<br><br>1. Will Uncle Sam allow schools that teach hatred of the USA &amp; brainwash students to sabotage the USA from within? Several Madrasas in India do that.<br>2. Will the US nationalize operations of &amp; donations to Churches, yet give freedom of operations to Jewish &amp; Hindu Temples, Muslim mosques, etc.,  offer salaries to the employees of such minority institutions but NOT to the employees of Churches, and distribute some of the donations to the Churches to mosques &amp; temples (but not the other way around? This happens in many states in India.<br>3. Will the US laws allow different civil laws for minorities depending on their religion? E.g. will a US Muslim be allowed not to have to pay alimony because his religion says so? Will US civil laws allow a Muslim to have up to 4 wives because his religion allows it? OR should the civil laws be the same for all US citizens &amp; permanent residents irrespective of their religion? Happens in India.<br>4. Will the US Govt pay for minorities to visit religious shrines in other countries but not do the same for its own majority population? This happens in India for Muslims going for the Haaj to Saudi Arabia - even most Muslim nations do not do this.<br>5. Will the US allow only minorities (non-Christian) to run religion-based schools but prohibit the majority (Christians) from running academic institutions? This too happens in India.<br>6. Will the USA allow descendants of Western Europe to teach their own version of history claiming that they once ruled the US, that it is their right to rule the US again, that they owe allegiance to past European rulers and not to the current democratic America? Many Muslims in India do so even if they are not even descendants of the foreign invaders. In fact, behind most Muslims of India are the forced conversions, killings of their forefathers, and rapes of their ancestor women but Madrasas teach them false history.<br>7. Does the US not have different pathways &amp; timelines for immigrants with different backgrounds (refugees/asylum seekers, highly educated, laborers, relatives of citizens, etc.)? If Christians were a minority in Mexico &amp; Canada and abused/harassed because of their religion, would the US not give them an accelerated pathway toward immigration &amp; citizenship?<br><br>Why should the answers/remedies of India to similar issues be different from those of the USA? Both are democratic &amp; secular countries. <br><br>Thinking that India needs different solutions to these Qs than the US is the real issue here that most well-meaning yet naive analysts do not understand. <br><br>Insisting that India has communal issues because the US &amp; the West does not understand real issues &amp; their nuances is downright arrogant, delusional &amp; condescending.<br><br>Narendra Modi is only as much a Hindu Nationalist leader as, say Donald Trump or Joe Biden are Christian Nationalist leaders of the US. <br><br>If &amp; when the Muslim population exceeds 10-20% in the US, Uncle Sam will be dealing with the same issues that India is dealing with for decades. So, US &amp; western media, in general, need to wake up &amp; stop sounding like broken records of &quot;copy-paste&quot; journalism. Instead, learn from India&#39;s experiences &amp; empathize."
https://www.youtube.com/watch?v=NS_Z3ZNxpVc,"Who is the best next 2024 Prime Minister to India<br><br>https://youtu.be/PB1Taz2OAfA<br><br><br><br><a href=""https://www.youtube.com/watch?v=GQLwtgY-PAM"">https://youtu.be/GQLwtgY-PAM</a><br><br><br><a href=""https://www.youtube.com/watch?v=qyuXhcZOi6g"">https://youtu.be/qyuXhcZOi6g</a>"
https://www.youtube.com/watch?v=NS_Z3ZNxpVc,World biggest worste PM is Modi... Indian people are struggling
https://www.youtube.com/watch?v=NS_Z3ZNxpVc,US- hypocrisy is our birth right 😂
https://www.youtube.com/watch?v=NS_Z3ZNxpVc,India needs to be careful. They&#39;re dancing with the devil.
https://www.youtube.com/watch?v=NS_Z3ZNxpVc,Election oversight in India??????? what an idiot.
https://www.youtube.com/watch?v=NS_Z3ZNxpVc,Last comment was a joke about democracy. Far more suppression of democracy and human right violation happen in the west. Modi won by an overwhelming majority and is one the great politician of the world. Its that he is right wing nationalist leader that why liberal media want to replace him with someone incompetent liberal politician like Biden
https://www.youtube.com/watch?v=NS_Z3ZNxpVc,Invest in india means getting robbed blind... proven fir decades... you either go bankrupt like Ford or you get robbed vlean like Xiaomi... they even rob Google 250m only last year... sundar Pichai myst ne an accomplce thug?
https://www.youtube.com/watch?v=NS_Z3ZNxpVc,Dude Americans invaded Capitol and you are lecturing about India 😂😂
https://www.youtube.com/watch?v=NS_Z3ZNxpVc,Modi powerful leader 👏
https://www.youtube.com/watch?v=NS_Z3ZNxpVc,PM Modi will win in 2024!!!
https://www.youtube.com/watch?v=NS_Z3ZNxpVc,Invest toilets?
https://www.youtube.com/watch?v=YmbcZ_ch49w,India is 500 years behind China. It will never be able to contain China.
https://www.youtube.com/watch?v=YmbcZ_ch49w,Few suggestions for both the top.leaders:<br><br>1. Explore ways how to eliminate terrorism from the world.<br>2. Find ways how to save environment and climate.<br>3. How to strengthen UNO.<br>4. Explore possibilities to give some priority to Indians in obtaining US green card.<br>.5. Possibilities to waive off the need for ViSA for Indians to visir USA and vice versa.<br>6. Arrange periodic meetings of ministers of both countries to find ways to strengthen each other.<br>7. Find ways to inculcate the teachings of spirituality and yoga in people. <br> 8. Find ways to allow Indian doctors to get jobs and practice in USA without the need to pass extra medical exams of USA. <br>9.Recognition of Ayurved in USA also be attempted. Promote and encourage Ayurved in both the countries.<br>10. A directory be made listing laws of one country and their equivalent laws in other country. Then efforts be made to adopt good points/ laws of of one country by other country.<br>11. Constitutions of both countries be compared and good points of one constitution be adopted in constitution of other country to the extent possible.<br> 12. Indian American Associations be encouraged to enlarge their scope to find ways to strengthen friendship between US and India specially in the areas where govt formal approval may not be reqd
https://www.youtube.com/watch?v=YmbcZ_ch49w,"here is the agenda, 1 tell US how India trains fly into the air and lost almost 1000 human lives,  <br>2. tell US how India giant bridge collapse 2 times in building and wasted huge amount of money,<br>3. Tell US how successfully get to global hunger index 107<br>4. tell US how to get the average income lower than Bangladesh under him. <br>5. tell US how to get Delhi most polluted capital in the world. <br>6. tell US how to lost to China in border, as shown in Oct 10th 2021, The Express Tribune, with title &quot;Indians furious. ...........&quot;"
https://www.youtube.com/watch?v=YmbcZ_ch49w,We know Modi&#39;s agenda and your agenda as well...your channel is just Modi channel 😅
https://www.youtube.com/watch?v=9BnopRkdNnw,Can INDIA have a strong geopolitical presence? Say &quot;YES&quot; if you agree!
https://www.youtube.com/watch?v=9BnopRkdNnw,👏👏👏
https://www.youtube.com/watch?v=9BnopRkdNnw,मोदी मोदी🇮🇳🇮🇳🇮🇳🇮🇳🙏🙏🙏👪👪👍👍
https://www.youtube.com/watch?v=9BnopRkdNnw,YES
https://www.youtube.com/watch?v=9BnopRkdNnw,"You explain too good, we require people like u a lot, explaining the right mindset to the youth.."
https://www.youtube.com/watch?v=9BnopRkdNnw,Modiji a living legend <br>A real patriot
https://www.youtube.com/watch?v=9BnopRkdNnw,Good information
https://www.youtube.com/watch?v=9BnopRkdNnw,Yes in the next 10 years
https://www.youtube.com/watch?v=9BnopRkdNnw,Modi ji jaisa koi PM aaj tak na koi paida huva na hoga ab
https://www.youtube.com/watch?v=9BnopRkdNnw,Sirf externally or foreigners ko show karne k liye strong banao internally kabhi kuch hoga k bas news or event me hi hota hai real life me common man k basics waise hi reh gaye? or inki party logo me nafrat spread kar rahi hai so alag
https://www.youtube.com/watch?v=9BnopRkdNnw,There never was and will never be a Prime Minister like Modiji.
https://www.youtube.com/watch?v=9BnopRkdNnw,Prime minister is the boss
https://www.youtube.com/watch?v=9BnopRkdNnw,Modi hai to mumkin h
https://www.youtube.com/watch?v=9BnopRkdNnw,Plz make a video on indian drug and people suffering from drug <br>Drug effect on young generation and brain
https://www.youtube.com/watch?v=9BnopRkdNnw,Hi.. Sir<br>Aap ka har video informative hota hai... Aur hm log dekhte bhe hai...aap k bolne ka andaaz bahut alag hai...<br>But aap ye mat bola kijiye ki.. aap k liye ye free hai... <br>Ham log bahut kimiti samay nikal kar dekhte hai... Sunte aur samajhte hai... <br>Best of luck
https://www.youtube.com/watch?v=9BnopRkdNnw,Advance congratulate for 5M sir &amp; mam 🎉🥳
https://www.youtube.com/watch?v=9BnopRkdNnw,DEVELOPMENT of INDIA  OR   development of  adnani businesss😁😜
https://www.youtube.com/watch?v=9BnopRkdNnw,Hello godi youtuber 😂😂😂 dum hai toh apna muh thoda unemployment and how much loan increase in 10 year iss pe banna 🙏🙏 Youtuber Gullu amish devgan ko competition de rahe ho... chalne do chalane do😂😂
https://www.youtube.com/watch?v=9BnopRkdNnw,Bhaiya aap knowledge ke sath sath positive kese soche। Or nation ko lekr aap jo serious baat btaate ho नमन 🙏🙏 है aap ko <br>Jay hind 👍👍
https://www.youtube.com/watch?v=9BnopRkdNnw,Make bias free videos . Your videos getting more like political ad 😅
https://www.youtube.com/watch?v=9BnopRkdNnw,fu news 😂
